1.00000000 0.00000000
0.99650143 0.00012546
0.98630784 0.00087244
0.97005205 0.00245306
0.94829368 0.00469453
0.92128560 0.00734896
0.88926753 0.01049782
0.85275297 0.01419533
0.81231279 0.01840030
0.76855163 0.02301761
0.72209528 0.02790607
0.67357774 0.03288006
0.62362320 0.03770016
0.57276201 0.04207643
0.52143072 0.04580396
0.47005458 0.04876048
0.41905031 0.05089111
0.36886448 0.05226366
0.32006982 0.05293579
0.27323617 0.05291081
0.22891316 0.05217104
0.18762699 0.05067551
0.14984995 0.04830813
0.11585821 0.04502703
0.08604976 0.04082925
0.06054336 0.03559560
0.03951243 0.02943184
0.02289578 0.02237358
0.01059386 0.01480893
0.00287618 0.00720916
0.00077702 0.00350729
0.00021251 0.00172145
0.00000000 0.00000000
0.00021251 -0.00172145
0.00077702 -0.00350729
0.00287618 -0.00720916
0.01059386 -0.01480893
0.02289578 -0.02237358
0.03951243 -0.02943184
0.06054336 -0.03559560
0.08604976 -0.04082925
0.11585821 -0.04502703
0.14984995 -0.04830813
0.18762699 -0.05067551
0.22891316 -0.05217104
0.27323617 -0.05291081
0.32006982 -0.05293579
0.36886448 -0.05226366
0.41905031 -0.05089111
0.47005458 -0.04876048
0.52143072 -0.04580396
0.57276201 -0.04207643
0.62362320 -0.03770016
0.67357774 -0.03288006
0.72209528 -0.02790607
0.76855163 -0.02301761
0.81231279 -0.01840030
0.85275297 -0.01419533
0.88926753 -0.01049782
0.92128560 -0.00734896
0.94829368 -0.00469453
0.97005205 -0.00245306
0.98630784 -0.00087244
0.99650143 -0.00012546
1.00000000 0.00000000
